"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","341","updateCategory_KeepsExistingName_WhenNameIsNull()","","2026-09-18","passed","2026-09-18","","io.github.filipchyla.shopapi.product.category.CategoryIntegrationTest.UpdateCategory","io.github.filipchyla.shopapi.product.category.CategoryIntegrationTest$UpdateCategory","updateCategory_KeepsExistingName_WhenNameIsNull"
"","9","updateStock_ShouldReturnNotFound_WhenProductDoesNotExist()","","2026-09-18","passed","2026-09-18","","io.github.filipchyla.shopapi.product.controller.ProductAdminControllerTest.UpdateStock","io.github.filipchyla.shopapi.product.controller.ProductAdminControllerTest$UpdateStock","updateStock_ShouldReturnNotFound_WhenProductDoesNotExist"
"","7","shouldPropagateException_whenEmailIsTaken()","","2026-09-18","passed","2026-09-18","","io.github.filipchyla.shopapi.auth.AuthenticationFacadeTest.RegisterUserAndReturnTokensTest","io.github.filipchyla.shopapi.auth.AuthenticationFacadeTest$RegisterUserAndReturnTokensTest","shouldPropagateException_whenEmailIsTaken"
"","344","updateProduct_ReturnsNotFound_WhenNewCategoryDoesNotExist()","","2026-09-18","passed","2026-09-18","","io.github.filipchyla.shopapi.product.ProductIntegrationTest.UpdateProduct","io.github.filipchyla.shopapi.product.ProductIntegrationTest$UpdateProduct","updateProduct_ReturnsNotFound_WhenNewCategoryDoesNotExist"
"","6","refresh_ShouldReturnUnauthorized_WhenCookieIsWrongOrExpired()","","2026-09-18","passed","2026-09-18","","io.github.filipchyla.shopapi.auth.AuthenticationControllerTest.RefreshTokenCookieTest","io.github.filipchyla.shopapi.auth.AuthenticationControllerTest$RefreshTokenCookieTest","refresh_ShouldReturnUnauthorized_WhenCookieIsWrongOrExpired"
"","2","getCart_ShouldDelegateToCartService_WhenPrincipalIsPresent()","","2026-09-18","passed","2026-09-18","","io.github.filipchyla.shopapi.cart.CartFacadeTest.GetCart","io.github.filipchyla.shopapi.cart.CartFacadeTest$GetCart","getCart_ShouldDelegateToCartService_WhenPrincipalIsPresent"
"","341","addProduct_CreatesProduct_WhenAdminAndValidRequest()","","2026-09-18","passed","2026-09-18","","io.github.filipchyla.shopapi.product.ProductIntegrationTest.AddProduct","io.github.filipchyla.shopapi.product.ProductIntegrationTest$AddProduct","addProduct_CreatesProduct_WhenAdminAndValidRequest"
"","349","updateCategory_UpdatesName_WhenAdminAndValidRequest()","","2026-09-18","passed","2026-09-18","","io.github.filipchyla.shopapi.product.category.CategoryIntegrationTest.UpdateCategory","io.github.filipchyla.shopapi.product.category.CategoryIntegrationTest$UpdateCategory","updateCategory_UpdatesName_WhenAdminAndValidRequest"
"","333","getProducts_ReturnsAllProducts_WhenNoFiltersApplied()","","2026-09-18","passed","2026-09-18","","io.github.filipchyla.shopapi.product.ProductIntegrationTest.GetProducts","io.github.filipchyla.shopapi.product.ProductIntegrationTest$GetProducts","getProducts_ReturnsAllProducts_WhenNoFiltersApplied"
"","2","clearCart_ShouldDelegateToGuestCartService_WhenPrincipalIsNull()","","2026-09-18","passed","2026-09-18","","io.github.filipchyla.shopapi.cart.CartFacadeTest.ClearCart","io.github.filipchyla.shopapi.cart.CartFacadeTest$ClearCart","clearCart_ShouldDelegateToGuestCartService_WhenPrincipalIsNull"
