"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","156","login_ShouldReturnUnauthorized_WhenCredentialsAreIncorrect()","","2026-08-28","passed","2026-08-28","","io.github.filipchyla.shopapi.auth.AuthIntegrationTest","io.github.filipchyla.shopapi.auth.AuthIntegrationTest","login_ShouldReturnUnauthorized_WhenCredentialsAreIncorrect"
"","167","refresh_ShouldReturnUnauthorized_WhenCookieIsReused()","","2026-08-28","passed","2026-08-28","","io.github.filipchyla.shopapi.auth.AuthIntegrationTest","io.github.filipchyla.shopapi.auth.AuthIntegrationTest","refresh_ShouldReturnUnauthorized_WhenCookieIsReused"
"","9","addCategory_ShouldReturnNotFound_WhenParentIdDoesNotExist()","","2026-08-28","passed","2026-08-28","","io.github.filipchyla.shopapi.product.category.controller.CategoryAdminControllerTest.AddCategory","io.github.filipchyla.shopapi.product.category.controller.CategoryAdminControllerTest$AddCategory","addCategory_ShouldReturnNotFound_WhenParentIdDoesNotExist"
"","5","postCategories_IsAccessible_WhenAdmin()","","2026-08-28","passed","2026-08-28","","io.github.filipchyla.shopapi.config.authorization.CategoryAuthorizationTest","io.github.filipchyla.shopapi.config.authorization.CategoryAuthorizationTest","postCategories_IsAccessible_WhenAdmin"
"","2","deleteProduct_ShouldMarkProductInactive_WhenProductExists()","","2026-08-28","passed","2026-08-28","","io.github.filipchyla.shopapi.product.ProductServiceTest.DeleteProduct","io.github.filipchyla.shopapi.product.ProductServiceTest$DeleteProduct","deleteProduct_ShouldMarkProductInactive_WhenProductExists"
"","3","getProductById_ShouldNotCacheResult_WhenProductNotFound()","","2026-08-28","passed","2026-08-28","","io.github.filipchyla.shopapi.product.ProductServiceCacheTest.GetProductById","io.github.filipchyla.shopapi.product.ProductServiceCacheTest$GetProductById","getProductById_ShouldNotCacheResult_WhenProductNotFound"
"","126","updateProduct_ShouldPutResultInCache_ForGivenId()","","2026-08-28","passed","2026-08-28","","io.github.filipchyla.shopapi.product.ProductServiceCacheTest.UpdateProduct","io.github.filipchyla.shopapi.product.ProductServiceCacheTest$UpdateProduct","updateProduct_ShouldPutResultInCache_ForGivenId"
"","338","getProduct_ReflectsUpdatedStock_AfterCachePutOnStockUpdate()","","2026-08-28","passed","2026-08-28","","io.github.filipchyla.shopapi.product.ProductIntegrationTest.GetProduct","io.github.filipchyla.shopapi.product.ProductIntegrationTest$GetProduct","getProduct_ReflectsUpdatedStock_AfterCachePutOnStockUpdate"
"","3","cookieBasedEndpoints_ShouldReturnForbidden_WhenCsrfTokenMissing(HttpMethod, String) [2] method=POST, url=/api/v1/auth/logout","","2026-08-28","passed","2026-08-28","","io.github.filipchyla.shopapi.config.CsrfConfigurationTest","io.github.filipchyla.shopapi.config.CsrfConfigurationTest","cookieBasedEndpoints_ShouldReturnForbidden_WhenCsrfTokenMissing"
"","325","getProducts_FiltersByCategoryId()","","2026-08-28","passed","2026-08-28","","io.github.filipchyla.shopapi.product.ProductIntegrationTest.GetProducts","io.github.filipchyla.shopapi.product.ProductIntegrationTest$GetProducts","getProducts_FiltersByCategoryId"
